Município;Público;Filantropico;Privado;Sindicato;Total
350010 ADAMANTINA;21;3;120;-;144
350020 ADOLFO;2;-;3;-;5
350030 AGUAI;12;1;40;-;53
350040 AGUAS DA PRATA;4;-;-;-;4
350050 AGUAS DE LINDOIA;8;2;23;-;33
350055 AGUAS DE SANTA BARBARA;3;-;5;-;8
350060 AGUAS DE SAO PEDRO;4;-;4;-;8
350070 AGUDOS;11;2;28;-;41
350075 ALAMBARI;8;-;1;-;9
350080 ALFREDO MARCONDES;2;-;-;-;2
350090 ALTAIR;6;-;1;-;7
350100 ALTINOPOLIS;14;1;22;-;37
350110 ALTO ALEGRE;5;-;2;-;7
350115 ALUMINIO;6;-;6;-;12
350120 ALVARES FLORENCE;4;-;-;-;4
350130 ALVARES MACHADO;8;3;10;-;21
350140 ALVARO DE CARVALHO;3;-;-;-;3
350150 ALVINLANDIA;2;-;-;-;2
350160 AMERICANA;43;4;687;-;734
350170 AMERICO BRASILIENSE;14;1;14;-;29
350180 AMERICO DE CAMPOS;2;-;3;-;5
350190 AMPARO;26;5;209;-;240
350200 ANALANDIA;2;-;2;-;4
350210 ANDRADINA;20;1;144;-;165
350220 ANGATUBA;11;1;21;-;33
350230 ANHEMBI;7;-;2;-;9
350240 ANHUMAS;5;-;-;-;5
350250 APARECIDA;18;2;17;-;37
350260 APARECIDA D'OESTE;3;1;2;-;6
350270 APIAI;19;1;24;1;45
350275 ARACARIGUAMA;6;-;8;-;14
350280 ARACATUBA;57;5;551;-;613
350290 ARACOIABA DA SERRA;12;-;8;-;20
350300 ARAMINA;4;-;2;-;6
350310 ARANDU;4;-;1;-;5
350315 ARAPEI;3;-;-;-;3
350320 ARARAQUARA;90;7;556;-;653
350330 ARARAS;37;2;279;-;318
350335 ARCO-IRIS;2;-;-;-;2
350340 AREALVA;7;1;1;-;9
350350 AREIAS;2;-;-;-;2
350360 AREIOPOLIS;6;-;8;-;14
350370 ARIRANHA;5;-;5;-;10
350380 ARTUR NOGUEIRA;21;-;45;-;66
350390 ARUJA;13;-;38;-;51
350395 ASPASIA;2;-;-;-;2
350400 ASSIS;39;2;260;1;302
350410 ATIBAIA;33;2;215;-;250
350420 AURIFLAMA;10;2;12;-;24
350430 AVAI;2;-;-;-;2
350440 AVANHANDAVA;9;-;5;-;14
350450 AVARE;30;2;173;1;206
350460 BADY BASSITT;4;-;5;-;9
350470 BALBINOS;5;-;-;-;5
350480 BALSAMO;2;-;1;-;3
350490 BANANAL;9;-;1;-;10
350500 BARAO DE ANTONINA;4;-;-;-;4
350510 BARBOSA;2;-;-;-;2
350520 BARIRI;10;1;46;1;58
350530 BARRA BONITA;11;1;69;1;82
350535 BARRA DO CHAPEU;6;-;-;-;6
350540 BARRA DO TURVO;8;-;-;-;8
350550 BARRETOS;43;5;194;-;242
350560 BARRINHA;12;-;11;-;23
350570 BARUERI;37;-;215;-;252
350580 BASTOS;12;2;10;-;24
350590 BATATAIS;21;5;179;1;206
350600 BAURU;102;4;535;-;641
350610 BEBEDOURO;28;2;212;-;242
350620 BENTO DE ABREU;4;-;-;-;4
350630 BERNARDINO DE CAMPOS;6;2;5;-;13
350635 BERTIOGA;17;-;23;-;40
350640 BILAC;3;1;4;-;8
350650 BIRIGUI;24;1;128;-;153
350660 BIRITIBA-MIRIM;13;-;8;-;21
350670 BOA ESPERANCA DO SUL;10;1;8;-;19
350680 BOCAINA;6;1;12;1;20
350690 BOFETE;2;-;-;-;2
350700 BOITUVA;14;1;58;-;73
350710 BOM JESUS DOS PERDOES;4;-;13;-;17
350715 BOM SUCESSO DE ITARARE;3;-;-;-;3
350720 BORA;2;-;-;-;2
350730 BORACEIA;3;-;1;-;4
350740 BORBOREMA;8;1;27;-;36
350745 BOREBI;3;-;-;-;3
350750 BOTUCATU;41;2;491;-;534
350760 BRAGANCA PAULISTA;56;2;246;-;304
350770 BRAUNA;2;-;-;-;2
350775 BREJO ALEGRE;3;-;-;-;3
350780 BRODOWSKI;9;-;35;-;44
350790 BROTAS;9;2;57;1;69
350800 BURI;14;1;2;-;17
350810 BURITAMA;10;-;10;-;20
350820 BURITIZAL;3;-;4;-;7
350830 CABRALIA PAULISTA;3;-;-;-;3
350840 CABREUVA;13;1;13;-;27
350850 CACAPAVA;28;-;213;-;241
350860 CACHOEIRA PAULISTA;17;2;38;-;57
350870 CACONDE;7;1;22;-;30
350880 CAFELANDIA;7;1;32;-;40
350890 CAIABU;4;-;-;-;4
350900 CAIEIRAS;21;2;36;-;59
350910 CAIUA;5;-;-;-;5
350920 CAJAMAR;19;-;28;-;47
350925 CAJATI;12;-;18;-;30
350930 CAJOBI;4;1;5;-;10
350940 CAJURU;13;2;33;-;48
350945 CAMPINA DO MONTE ALEGRE;4;-;-;-;4
350950 CAMPINAS;144;18;2106;-;2268
350960 CAMPO LIMPO PAULISTA;17;-;29;-;46
350970 CAMPOS DO JORDAO;18;2;35;-;55
350980 CAMPOS NOVOS PAULISTA;2;-;-;-;2
350990 CANANEIA;7;-;-;-;7
350995 CANAS;2;-;-;-;2
351000 CANDIDO MOTA;10;-;54;1;65
351010 CANDIDO RODRIGUES;2;-;1;-;3
351015 CANITAR;2;-;-;-;2
351020 CAPAO BONITO;20;2;26;-;48
351030 CAPELA DO ALTO;9;-;6;-;15
351040 CAPIVARI;16;2;116;2;136
351050 CARAGUATATUBA;43;2;108;-;153
351060 CARAPICUIBA;35;-;60;-;95
351070 CARDOSO;8;1;9;-;18
351080 CASA BRANCA;16;1;54;-;71
351090 CASSIA DOS COQUEIROS;5;-;-;-;5
351100 CASTILHO;3;1;13;-;17
351110 CATANDUVA;44;7;377;-;428
351120 CATIGUA;4;-;4;-;8
351130 CEDRAL;6;-;11;-;17
351140 CERQUEIRA CESAR;10;1;13;-;24
351150 CERQUILHO;13;1;109;1;124
351160 CESARIO LANGE;6;1;8;-;15
351170 CHARQUEADA;7;1;11;-;19
351190 CLEMENTINA;1;1;2;-;4
351200 COLINA;8;1;23;-;32
351210 COLOMBIA;8;-;5;-;13
351220 CONCHAL;12;1;23;1;37
351230 CONCHAS;11;-;32;-;43
351240 CORDEIROPOLIS;16;-;17;-;33
351250 COROADOS;2;-;-;-;2
351260 CORONEL MACEDO;4;-;-;-;4
351270 CORUMBATAI;3;-;1;-;4
351280 COSMOPOLIS;21;1;59;-;81
351290 COSMORAMA;4;-;1;-;5
351300 COTIA;48;2;79;-;129
351310 CRAVINHOS;15;1;32;-;48
351320 CRISTAIS PAULISTA;6;-;5;-;11
351330 CRUZALIA;3;-;-;-;3
351340 CRUZEIRO;32;5;229;-;266
351350 CUBATAO;41;3;131;-;175
351360 CUNHA;11;2;7;-;20
351370 DESCALVADO;19;-;92;-;111
351380 DIADEMA;59;1;120;-;180
351385 DIRCE REIS;2;-;-;-;2
351390 DIVINOLANDIA;6;-;17;-;23
351400 DOBRADA;2;-;3;-;5
351410 DOIS CORREGOS;9;1;33;-;43
351420 DOLCINOPOLIS;3;-;1;-;4
351430 DOURADO;5;1;5;-;11
351440 DRACENA;18;2;149;-;169
351450 DUARTINA;9;2;31;-;42
351460 DUMONT;5;-;-;-;5
351470 ECHAPORA;5;-;1;-;6
351480 ELDORADO;7;-;-;-;7
351490 ELIAS FAUSTO;7;-;4;-;11
351492 ELISIARIO;2;-;1;-;3
351495 EMBAUBA;2;-;1;-;3
351500 EMBU DAS ARTES;29;-;28;-;57
351510 EMBU-GUACU;21;-;11;-;32
351512 EMILIANOPOLIS;2;-;-;-;2
351515 ENGENHEIRO COELHO;9;-;6;-;15
351518 ESPIRITO SANTO DO PINHAL;12;3;132;1;148
351519 ESPIRITO SANTO DO TURVO;4;-;-;-;4
351520 ESTRELA D'OESTE;4;2;12;-;18
351530 ESTRELA DO NORTE;2;-;-;-;2
351535 EUCLIDES DA CUNHA PAULISTA;7;-;2;-;9
351540 FARTURA;7;1;27;-;35
351550 FERNANDOPOLIS;38;4;245;-;287
351560 FERNANDO PRESTES;5;-;4;-;9
351565 FERNAO;2;-;-;-;2
351570 FERRAZ DE VASCONCELOS;29;-;14;-;43
351580 FLORA RICA;2;-;-;-;2
351590 FLOREAL;3;-;2;-;5
351600 FLORIDA PAULISTA;9;1;5;-;15
351610 FLORINIA;3;-;-;-;3
351620 FRANCA;57;3;693;-;753
351630 FRANCISCO MORATO;23;1;30;-;54
351640 FRANCO DA ROCHA;45;-;36;-;81
351650 GABRIEL MONTEIRO;2;-;-;-;2
351660 GALIA;3;1;9;-;13
351670 GARCA;25;4;40;1;70
351680 GASTAO VIDIGAL;2;-;-;-;2
351685 GAVIAO PEIXOTO;5;-;1;-;6
351690 GENERAL SALGADO;6;2;10;-;18
351700 GETULINA;4;1;9;-;14
351710 GLICERIO;3;-;1;-;4
351720 GUAICARA;6;-;7;-;13
351730 GUAIMBE;4;1;2;-;7
351740 GUAIRA;17;1;52;-;70
351750 GUAPIACU;12;-;11;-;23
351760 GUAPIARA;13;-;-;-;13
351770 GUARA;14;2;29;-;45
351780 GUARACAI;3;1;10;-;14
351790 GUARACI;11;-;9;-;20
351800 GUARANI D'OESTE;2;-;1;-;3
351810 GUARANTA;4;-;1;-;5
351820 GUARARAPES;5;1;32;1;39
351830 GUARAREMA;8;1;11;-;20
351840 GUARATINGUETA;33;4;236;-;273
351850 GUAREI;8;-;-;-;8
351860 GUARIBA;12;1;30;-;43
351870 GUARUJA;58;7;235;-;300
351880 GUARULHOS;134;3;555;-;692
351885 GUATAPARA;4;-;1;-;5
351890 GUZOLANDIA;3;-;-;-;3
351900 HERCULANDIA;6;1;1;-;8
351905 HOLAMBRA;5;-;12;-;17
351907 HORTOLANDIA;51;-;69;-;120
351910 IACANGA;4;1;7;-;12
351920 IACRI;3;1;2;-;6
351925 IARAS;8;-;-;-;8
351930 IBATE;14;-;21;-;35
351940 IBIRA;6;1;12;-;19
351950 IBIRAREMA;4;-;2;-;6
351960 IBITINGA;14;1;115;-;130
351970 IBIUNA;25;-;22;-;47
351980 ICEM;8;-;7;-;15
351990 IEPE;7;-;12;-;19
352000 IGARACU DO TIETE;7;1;10;-;18
352010 IGARAPAVA;11;1;41;-;53
352020 IGARATA;5;-;-;-;5
352030 IGUAPE;11;-;11;-;22
352040 ILHABELA;15;1;7;-;23
352042 ILHA COMPRIDA;6;-;1;-;7
352044 ILHA SOLTEIRA;19;-;77;-;96
352050 INDAIATUBA;32;6;316;-;354
352060 INDIANA;5;-;3;-;8
352070 INDIAPORA;3;1;1;-;5
352080 INUBIA PAULISTA;2;-;1;-;3
352090 IPAUSSU;5;2;10;-;17
352100 IPERO;11;-;14;-;25
352110 IPEUNA;6;-;-;-;6
352115 IPIGUA;3;-;-;-;3
352120 IPORANGA;4;-;-;-;4
352130 IPUA;9;1;19;-;29
352140 IRACEMAPOLIS;14;-;6;-;20
352150 IRAPUA;3;-;-;-;3
352160 IRAPURU;6;-;1;-;7
352170 ITABERA;14;-;4;-;18
352180 ITAI;10;1;18;-;29
352190 ITAJOBI;7;1;9;-;17
352200 ITAJU;2;-;-;-;2
352210 ITANHAEM;35;2;25;-;62
352215 ITAOCA;3;-;-;-;3
352220 ITAPECERICA DA SERRA;22;-;25;-;47
352230 ITAPETININGA;55;1;305;-;361
352240 ITAPEVA;43;1;150;-;194
352250 ITAPEVI;38;-;48;-;86
352260 ITAPIRA;25;2;96;-;123
352265 ITAPIRAPUA PAULISTA;5;-;-;-;5
352270 ITAPOLIS;13;1;69;-;83
352280 ITAPORANGA;8;1;2;-;11
352290 ITAPUI;6;1;2;-;9
352300 ITAPURA;3;-;-;-;3
352310 ITAQUAQUECETUBA;41;-;28;-;69
352320 ITARARE;24;3;52;-;79
352330 ITARIRI;7;-;3;-;10
352340 ITATIBA;36;2;102;-;140
352350 ITATINGA;3;1;15;-;19
352360 ITIRAPINA;9;-;18;-;27
352370 ITIRAPUA;5;-;-;-;5
352380 ITOBI;2;-;3;-;5
352390 ITU;45;2;210;-;257
352400 ITUPEVA;23;1;25;-;49
352410 ITUVERAVA;18;2;145;-;165
352420 JABORANDI;6;-;4;-;10
352430 JABOTICABAL;22;4;106;-;132
352440 JACAREI;30;2;325;1;358
352450 JACI;4;4;2;-;10
352460 JACUPIRANGA;10;-;8;-;18
352470 JAGUARIUNA;22;-;55;-;77
352480 JALES;28;4;172;-;204
352490 JAMBEIRO;4;-;-;-;4
352500 JANDIRA;19;-;16;-;35
352510 JARDINOPOLIS;16;2;33;-;51
352520 JARINU;8;-;12;-;20
352530 JAU;34;4;389;-;427
352540 JERIQUARA;2;-;-;-;2
352550 JOANOPOLIS;4;-;6;-;10
352560 JOAO RAMALHO;4;-;-;-;4
352570 JOSE BONIFACIO;13;1;32;-;46
352580 JULIO MESQUITA;2;1;-;-;3
352585 JUMIRIM;3;-;2;-;5
352590 JUNDIAI;72;19;1402;6;1499
352600 JUNQUEIROPOLIS;15;1;12;-;28
352610 JUQUIA;9;-;4;-;13
352620 JUQUITIBA;10;-;3;-;13
352630 LAGOINHA;5;1;-;-;6
352640 LARANJAL PAULISTA;13;2;56;-;71
352650 LAVINIA;6;-;-;-;6
352660 LAVRINHAS;5;-;-;-;5
352670 LEME;32;2;131;2;167
352680 LENCOIS PAULISTA;21;3;140;-;164
