Município;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total
350010 ADAMANTINA;-;9;4;1;1;-;-;-;101;13;17;1;2;-;3;-;-;-;-;2;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;157
350020 ADOLFO;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350030 AGUAI;-;6;1;1;-;-;1;-;43;2;6;-;1;3;2;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;70
350040 AGUAS DA PRATA;-;2;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350050 AGUAS DE LINDOIA;-;5;-;1;-;-;-;-;26;7;4;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47
350055 AGUAS DE SANTA BARBARA;-;4;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
350060 AGUAS DE SAO PEDRO;-;1;-;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350070 AGUDOS;-;7;3;1;-;-;-;-;18;1;1;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;35
350075 ALAMBARI;2;2;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
350080 ALFREDO MARCONDES;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
350090 ALTAIR;-;3;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
350100 ALTINOPOLIS;-;7;1;1;-;-;-;-;23;8;1;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
350110 ALTO ALEGRE;-;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
350115 ALUMINIO;-;2;1;-;-;-;-;-;3;5;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;15
350120 ALVARES FLORENCE;-;3;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350130 ALVARES MACHADO;-;7;-;1;-;-;-;-;4;4;4;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
350140 ALVARO DE CARVALHO;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350150 ALVINLANDIA;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
350160 AMERICANA;-;22;9;4;1;-;-;-;883;26;57;-;1;1;1;-;-;1;-;1;1;3;-;-;1;-;-;-;2;-;-;-;1;-;1;1;2;1019
350170 AMERICO BRASILIENSE;-;5;-;2;-;1;-;-;8;5;1;-;2;-;2;-;-;-;-;1;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;33
350180 AMERICO DE CAMPOS;-;2;-;-;-;-;-;-;3;1;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
350190 AMPARO;1;15;10;2;1;-;-;-;210;13;37;2;-;1;1;-;-;-;-;2;-;2;-;-;1;1;-;-;3;-;-;-;-;-;1;1;-;304
350200 ANALANDIA;-;1;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350210 ANDRADINA;-;7;3;1;1;-;1;-;220;7;10;21;-;-;2;-;-;-;1;3;-;2;1;-;1;1;-;-;1;-;-;-;1;-;-;-;1;285
