Município;AIDS - Ações Estratégicas;Acomp. Pac. Saúde Mental - Ações Estratégic. - SIA;Acomp. de paciente - Ações Estratégicas - SIA;Acomp. pós transplante - Ações Estratégicas;Acompanh. a def. auditivo - Ações Estratégicas;Aids - Ações Estratégicas - AIH;Angioplastia endovascular - SIH;Anvisa - Taxa de fiscalização;Apoio à população indígena;Assistência domiciliar - Ações Estratégicas SIA;Assistência pré-natal - AIH;CAPS I - Incent. Cust. Centros At. Psicossocial;Campanha de vacinação do idoso;Central de Regulação - Ações Estratégicas;Central de Regulação - Ações Estratétgicas - SIA;Câncer de colo uterino - Ações Estratégicas;Deformidade crânio-facial - Ações Estrategicas;Epidemiologia e controle de doenças;Epidemiologia e controle de doenças (adicional);Epilepsia - SIH;Farmácia básica;Financ aos Centros de Referência Saúde Trabalhador;Fisioterapia -  - Ações Estratégicas SIA;Gastroplastia - Ações Estratégicas;Geriatria - Ações Estratégicas - AIH;Gestão plena do sistema estadual (NOAS);Gestão plena sistema municipal - média complex;Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI;Inc. Fortalecimento Gestão de Vigilância em Saúde;Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospitalar;Incent. Prog. Nacional de HIV/AIDS e outras DST;Incentivo Adicional ao CEO;Incentivo CNRAC - Ações Estratégicas - SIA;Incentivo Estabelecimento de Parcerias com as OSC;Incentivo a ações básicas vigilância sanitária;Incentivo fortalec lab centr saúde pública - LACEN;Incentivo para Casa de Apoio HIV/AIDS;Incentivo à Farmácia Popular do Brasil;Incentivo à Saúde no Sistema Penitenciário;Incentivo à saúde bucal;Leucemia mielóide - SIA;MAC vigilância sanitária;Medicamentos dos Grupos AR 0,95;Medicamentos dos Grupos HD 1,15;Medicamentos excepcionais pacientes crônicos;Medicamentos para saúde mental;Multirão de Cirurgias Eletivas Média Complexidade;Neonatal - Ações Estratégicas- SIA;Neurocirurgia - SIH;Ortodontia - Ações Estratégicas;Osteogenesis Imperfecta - AIH;Patologia clínica - Ações Estratégicas SIA;Piso de atenção básica - fixo;Programa Farmácia Popular do Brasil;Programa agentes comunitários de saúde;Programa de Especialidade Odontológica;Programa de Saúde da Família;Pré-natal - Ações Estratégicas;Prótese Dentária - Ações Estratégicas - SIA;Psicodiagnóstico - Ações Estratégicas SIA;Queimados - Ações Estratégicas;Reabilitação - Ações Estratégicas;Registro Civil e Nascimento - AIH;Registro de Câncer de Base Populacional - RCBP;Serviços Atendimento Móvel de Urgências - SAMU;Terapia e psicoterapia - Ações Estratégicas SIA;Terapia renal substitutiva - SIA;Transplantes - Ações Estratégicas;Tuberculose - Ações Estratégicas;Total
350010 Adamantina;-;-;-;-;-;-;-;286,48;-;-;680;-;714,41;-;-;126;-;6195,19;1256,14;-;4665,38;-;160,48;-;-;-;162804,09;-;-;-;-;-;-;-;716,21;-;-;-;-;-;-;343,78;2708,93;3279,23;-;-;-;14,5;-;-;-;-;37242,83;-;7350;-;-;210;-;-;-;-;35;-;-;-;-;-;373,8;229162,45
350020 Adolfo;-;-;-;-;-;-;-;32,85;-;-;-;-;90,1;-;-;-;-;504,44;-;-;524,01;-;-;-;-;-;-;-;-;-;-;-;-;-;82,13;-;-;-;-;-;-;32,85;308,35;373,27;-;-;-;-;-;-;-;-;4270,5;-;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8318,5
350030 Aguaí;-;-;-;-;-;-;-;260,18;-;-;-;-;478,4;-;-;-;-;3825,28;-;-;4081,55;-;-;-;-;-;-;-;-;-;-;-;-;-;650,46;-;-;-;-;-;-;260,18;2428,36;2939,59;-;-;-;-;-;-;-;-;33823,83;-;4200;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;63747,83
350040 Águas da Prata;-;-;-;-;-;-;-;-;-;-;-;-;169,55;-;-;-;-;948,03;-;-;999,08;-;-;-;-;-;-;-;-;-;-;-;-;-;154,29;-;-;-;-;-;-;-;582,35;704,95;-;-;-;-;-;-;-;-;8023,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11581,42
350050 Águas de Lindóia;-;-;-;-;-;-;-;156,38;-;-;-;-;345,63;-;-;-;-;2226,55;-;-;2405,01;-;-;-;-;-;-;-;-;-;-;-;-;-;390,96;-;-;-;-;8500;-;187,66;1447,88;1752,7;-;-;-;-;-;-;-;-;20329,83;-;10500;-;27000;-;-;-;-;-;-;-;-;-;-;-;-;75242,6
350055 Águas de Santa Bárbara;-;-;-;-;-;-;-;-;-;-;-;-;109,18;-;-;-;-;745,3;-;-;774,68;-;-;-;-;-;-;-;-;-;-;-;-;-;126,21;-;-;-;-;-;-;-;467,64;566,09;-;-;-;-;-;-;-;-;6562,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9351,93
350060 Águas de São Pedro;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;260,28;-;-;266,75;-;-;-;-;-;-;-;-;-;-;-;-;-;41,67;-;-;-;-;-;-;-;156,59;189,56;-;-;-;-;-;-;-;-;2791,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3796,62
350070 Agudos;-;-;-;-;-;-;-;282,72;-;-;-;-;445,76;-;-;-;-;4360,07;-;-;4564,04;-;-;-;-;-;-;-;-;-;-;-;-;-;706,79;-;-;-;-;5100;-;282,72;2665,15;3226,23;-;-;-;-;-;-;-;-;36753,17;-;6300;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;80886,65
350075 Alambari;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;494,9;-;-;516,73;-;-;-;-;-;-;-;-;-;-;-;-;-;80,6;-;-;-;-;-;-;-;303,13;366,95;-;-;-;-;-;-;-;-;4191,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6043,83
350080 Alfredo Marcondes;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;685,65;-;-;517;-;-;-;-;-;-;-;-;-;-;-;-;-;79,69;-;-;-;-;1700;-;-;300,99;364,36;-;-;-;-;-;-;-;-;4143,75;-;3150;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;21831,54
