Município;Médico Anestesiologista;Médico Cirurgião Geral;Médico Clínico;Médico Generalista Alopata;Médico Ginecologista Obstetra;Médico da estratégia de Saúde da Família;Médico de família e comunidade;Médico Pediatra;Médico psiquiatra;Médico em radiologia e diagnóstico por imagem;Médico sanitarista;Médico acupunturista;Médico alergista e imunologista;Médico anatomopatologista;Médico angiologista;Médico Cardiologista Intervencionista;Médico cancerologista cirúrgico;Médico cancerologista pediátrico;Médico cardiologista;Médico cirurgião cardiovascular;Médico cirurgião de cabeça e pescoço;Médico cirurgião do aparelho digestivo;Médico cirurgião pediátrico;Médico cirurgião plástico;Médico cirurgião torácico;Médico citopatologista;Médico coloproctologista;Médico dermatologista;Médico do trabalho;Médico em cirurgia vascular;Médico em endoscopia;Médico em medicina de tráfego;Médico em medicina intensiva;Médico em medicina nuclear;Médico em medicina preventiva e social;Médico endocrinologista e metabologista;Médico fisiatra;Médico gastroenterologista;Médico geneticista;Médico geriatra;Médico hematologista;Médico hiperbarista;Médico homeopata;Médico infectologista;Médico legista;Médico mastologista;Médico nefrologista;Médico neurocirurgião;Médico neurofisiologista clínico;Médico neurologista;Médico nutrologista;Médico oftalmologista;Médico oncologista clínico;Médico ortopedista e traumatologista;Médico otorrinolaringologista;Médico patologista;Médico patologista clínico / medicina laboratorial;Médico pneumologista;Médico radioterapeuta;Médico residente;Médico reumatologista;Médico urologista;Total
350010 ADAMANTINA;-;-;93;-;10;2;-;20;3;9;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4;-;-;2;-;-;4;-;5;-;3;4;-;-;-;-;-;1;1;179
350020 ADOLFO;-;-;5;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
350030 AGUAI;-;-;33;-;2;4;-;3;-;12;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;2;-;-;-;-;-;-;-;-;65
350040 AGUAS DA PRATA;-;-;18;-;1;-;-;2;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;29
350050 AGUAS DE LINDOIA;1;1;25;2;2;3;-;7;1;1;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;52
350055 AGUAS DE SANTA BARBARA;-;-;11;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
350060 AGUAS DE SAO PEDRO;-;-;8;-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;16
350070 AGUDOS;1;-;35;-;11;6;-;15;3;2;-;-;-;-;-;-;-;-;5;-;-;-;-;2;-;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;4;-;5;1;-;-;-;-;-;1;-;99
350075 ALAMBARI;-;-;7;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
350080 ALFREDO MARCONDES;-;-;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
350090 ALTAIR;-;-;8;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
350100 ALTINOPOLIS;1;-;6;-;1;9;-;3;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;4;-;1;1;-;-;-;-;-;-;-;37
350110 ALTO ALEGRE;-;-;1;-;-;2;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
350115 ALUMINIO;-;-;8;-;3;-;-;2;1;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;24
350120 ALVARES FLORENCE;-;-;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
350130 ALVARES MACHADO;-;-;66;-;-;5;-;2;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;79
350140 ALVARO DE CARVALHO;-;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350150 ALVINLANDIA;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
350160 AMERICANA;33;21;259;-;59;10;2;106;28;33;-;7;2;4;14;6;-;-;50;-;3;1;-;11;1;-;-;27;8;2;1;-;8;1;-;9;3;7;-;-;1;-;2;5;-;-;11;3;-;25;-;36;9;57;21;-;-;2;-;-;4;11;903
350170 AMERICO BRASILIENSE;24;3;103;-;10;1;-;12;3;2;-;-;-;-;-;-;-;-;9;-;1;-;-;1;-;-;1;5;1;4;-;-;-;-;-;-;-;1;-;1;-;-;-;5;-;-;3;-;-;3;-;7;-;3;7;3;-;1;-;-;1;2;217
350180 AMERICO DE CAMPOS;-;-;18;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
350190 AMPARO;3;4;115;-;13;29;1;20;12;15;-;2;-;-;1;-;-;-;14;-;-;-;-;-;-;-;-;12;1;4;2;-;-;-;-;3;-;1;-;-;1;-;-;3;-;-;4;-;-;9;-;16;1;5;5;-;1;1;-;-;1;-;299
350200 ANALANDIA;-;-;24;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;30
350210 ANDRADINA;-;1;124;-;3;10;-;21;5;21;-;1;1;1;-;-;-;-;15;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;3;-;1;-;-;-;-;-;2;-;-;1;-;-;7;-;8;3;5;4;-;-;1;-;-;2;-;249
350220 ANGATUBA;-;-;18;-;1;2;-;3;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;33
350230 ANHEMBI;-;-;12;-;1;3;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
350240 ANHUMAS;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
350250 APARECIDA;3;2;28;-;1;4;-;8;-;2;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;13;-;1;1;-;-;-;-;-;-;-;73
350260 APARECIDA D'OESTE;-;-;4;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
350270 APIAI;2;-;17;-;3;7;-;3;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;38
350275 ARACARIGUAMA;-;-;11;-;4;-;-;4;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;27
350280 ARACATUBA;27;7;184;-;29;24;1;54;10;27;-;2;1;6;-;2;1;-;33;-;1;1;1;3;-;-;1;18;7;6;-;6;-;2;-;6;-;4;-;-;5;-;-;6;-;-;7;5;-;17;1;31;9;18;9;-;1;1;3;72;4;4;657
350290 ARACOIABA DA SERRA;-;1;28;-;3;3;-;4;1;2;-;-;2;-;-;-;-;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;1;-;-;-;-;-;-;1;56
350300 ARAMINA;-;-;1;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
350310 ARANDU;-;-;12;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;18
350315 ARAPEI;-;-;4;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
350320 ARARAQUARA;19;9;420;4;50;27;4;82;14;24;1;3;4;4;5;1;-;-;35;-;-;3;3;6;1;-;-;17;15;10;-;1;4;-;-;9;-;13;-;2;-;-;1;4;-;-;11;3;-;17;2;45;17;21;10;1;-;4;2;62;2;9;1001
350330 ARARAS;9;2;258;1;17;11;-;48;14;5;-;2;2;1;3;7;-;-;21;1;-;-;-;4;-;-;-;11;6;-;-;-;-;1;-;3;-;1;-;1;1;-;-;2;-;-;10;-;-;5;2;9;4;5;4;-;1;-;-;37;2;-;511
350340 AREALVA;1;-;7;-;1;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9;-;-;-;-;-;-;-;-;-;-;26
350350 AREIAS;-;-;4;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
350360 AREIOPOLIS;-;-;5;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;12
350370 ARIRANHA;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
350380 ARTUR NOGUEIRA;-;-;15;-;2;6;-;7;2;4;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;-;1;1;-;1;-;-;-;-;-;54
