Município;Rede geral de esgoto ou pluvial;Fossa séptica;Fossa rudimendar;Vala;Rio, lago ou mar;Outro escoadouro;Não tem instalação sanitária;Total;;;;
350010 ADAMANTINA;31545;510;1358;30;-;6;22;33471;;;;
350020 ADOLFO;3068;279;207;2;-;-;-;3556;;;;
350030 AGUAI;28523;336;2955;113;43;26;20;32016;;;;
350040 AGUAS DA PRATA;5851;488;809;77;276;1;1;7503;;;;
350050 AGUAS DE LINDOIA;15196;707;1007;61;116;14;15;17116;;;;
350055 AGUAS DE SANTA BARBARA;3209;980;1279;-;90;12;7;5577;;;;
350060 AGUAS DE SAO PEDRO;2599;11;30;27;-;13;-;2680;;;;
350070 AGUDOS;31934;699;1162;12;378;8;44;34237;;;;
350075 ALAMBARI;2598;276;1986;-;-;-;2;4862;;;;
350080 ALFREDO MARCONDES;3175;98;568;24;-;12;-;3877;;;;
350090 ALTAIR;2591;1184;11;-;-;2;-;3788;;;;
350100 ALTINOPOLIS;13418;199;1865;8;17;6;6;15519;;;;
350110 ALTO ALEGRE;3087;306;697;8;-;3;-;4101;;;;
350115 ALUMINIO;13094;1194;1681;5;766;6;20;16766;;;;
350120 ALVARES FLORENCE;2629;590;668;4;-;5;-;3896;;;;
350130 ALVARES MACHADO;19774;1156;2420;85;4;15;10;23464;;;;
350140 ALVARO DE CARVALHO;2935;134;179;30;-;4;5;3287;;;;
350150 ALVINLANDIA;2563;116;301;6;2;4;3;2995;;;;
350160 AMERICANA;205358;1835;2177;40;14;234;96;209754;;;;
350170 AMERICO BRASILIENSE;33928;154;125;11;9;97;15;34339;;;;
350180 AMERICO DE CAMPOS;4783;152;731;17;6;7;1;5697;;;;
350190 AMPARO;53015;5116;4709;170;2420;61;19;65510;;;;
350200 ANALANDIA;3155;95;912;13;69;12;1;4257;;;;
350210 ANDRADINA;45562;3851;4660;56;7;39;33;54208;;;;
350220 ANGATUBA;15842;2890;3128;99;53;86;36;22134;;;;
350230 ANHEMBI;4172;854;436;56;8;35;-;5561;;;;
350240 ANHUMAS;3020;213;452;12;14;4;-;3715;;;;
350250 APARECIDA;33022;437;267;343;516;18;25;34628;;;;
350260 APARECIDA D'OESTE;3528;35;827;-;-;25;4;4419;;;;
350270 APIAI;12744;858;7148;694;3227;154;214;25039;;;;
350275 ARACARIGUAMA;9077;2171;4278;77;1269;22;19;16913;;;;
350280 ARACATUBA;174805;2008;3562;31;13;29;69;180517;;;;
350290 ARACOIABA DA SERRA;7826;6848;12375;21;53;23;16;27162;;;;
350300 ARAMINA;4685;129;297;-;10;12;13;5146;;;;
350310 ARANDU;4377;1007;683;3;-;-;8;6078;;;;
350315 ARAPEI;1049;407;171;374;469;4;5;2479;;;;
350320 ARARAQUARA;201163;2197;2976;23;131;37;33;206560;;;;
350330 ARARAS;113967;2199;1411;59;46;45;47;117774;;;;
350335 ARCO-IRIS;1112;194;601;-;-;1;13;1921;;;;
350340 AREALVA;5621;1430;713;11;13;22;8;7818;;;;
350350 AREIAS;2314;46;500;58;712;6;8;3644;;;;
350360 AREIOPOLIS;10209;228;56;-;38;8;14;10553;;;;
350370 ARIRANHA;8033;115;334;2;33;10;3;8530;;;;
350380 ARTUR NOGUEIRA;38597;1460;3998;12;-;24;11;44102;;;;
350390 ARUJA;41390;22699;7582;1165;1427;329;16;74608;;;;
350395 ASPASIA;1268;75;460;3;-;-;2;1808;;;;
350400 ASSIS;89368;1908;1746;42;5;12;28;93109;;;;
350410 ATIBAIA;62852;38482;19840;1283;2846;92;34;125429;;;;
