Município;Renda_média_domic._per_capita
350010 ADAMANTINA;963,25
350020 ADOLFO;640,44
350030 AGUAI;625,51
350040 AGUAS DA PRATA;846,96
350050 AGUAS DE LINDOIA;703,69
350055 AGUAS DE SANTA BARBARA;797,97
350060 AGUAS DE SAO PEDRO;1568
350070 AGUDOS;627,75
350075 ALAMBARI;551,24
350080 ALFREDO MARCONDES;553,23
350090 ALTAIR;612,33
350100 ALTINOPOLIS;727,45
350110 ALTO ALEGRE;541,25
350115 ALUMINIO;740,83
350120 ALVARES FLORENCE;623,12
350130 ALVARES MACHADO;660,23
350140 ALVARO DE CARVALHO;506,46
350150 ALVINLANDIA;707,58
350160 AMERICANA;1133,46
350170 AMERICO BRASILIENSE;651,51
350180 AMERICO DE CAMPOS;683,18
350190 AMPARO;1002,82
350200 ANALANDIA;820,25
350210 ANDRADINA;907,91
350220 ANGATUBA;595,94
350230 ANHEMBI;549,16
350240 ANHUMAS;558,65
350250 APARECIDA;752,06
350260 APARECIDA D'OESTE;608,31
350270 APIAI;483,31
350275 ARACARIGUAMA;685,39
350280 ARACATUBA;993,33
350290 ARACOIABA DA SERRA;835,01
350300 ARAMINA;717,31
350310 ARANDU;530,51
350315 ARAPEI;410,83
350320 ARARAQUARA;1061,45
350330 ARARAS;910,26
350335 ARCO-IRIS;509,28
350340 AREALVA;692,79
350350 AREIAS;384,13
350360 AREIOPOLIS;559,6
350370 ARIRANHA;747,52
350380 ARTUR NOGUEIRA;810,8
350390 ARUJA;873,71
350395 ASPASIA;590,7
350400 ASSIS;945,04
350410 ATIBAIA;1020,29
350420 AURIFLAMA;820,21
350430 AVAI;511,25
350440 AVANHANDAVA;558,86
350450 AVARE;847,72
350460 BADY BASSITT;777,11
350470 BALBINOS;586,3
350480 BALSAMO;828,6
350490 BANANAL;586,07
350500 BARAO DE ANTONINA;532,12
350510 BARBOSA;527,94
350520 BARIRI;771,49
350530 BARRA BONITA;903,18
350535 BARRA DO CHAPEU;364,58
350540 BARRA DO TURVO;387,49
350550 BARRETOS;906,32
350560 BARRINHA;655,94
350570 BARUERI;1038,11
350580 BASTOS;601,88
350590 BATATAIS;888,38
350600 BAURU;1141,43
350610 BEBEDOURO;865,12
350620 BENTO DE ABREU;641,17
350630 BERNARDINO DE CAMPOS;673,1
350635 BERTIOGA;727,67
350640 BILAC;812,83
350650 BIRIGUI;797,41
350660 BIRITIBA-MIRIM;654,17
350670 BOA ESPERANCA DO SUL;579,16
350680 BOCAINA;795,08
350690 BOFETE;601,12
350700 BOITUVA;878,88
350710 BOM JESUS DOS PERDOES;599,27
350715 BOM SUCESSO DE ITARARE;342,68
350720 BORA;676,11
350730 BORACEIA;708,05
350740 BORBOREMA;659,84
350745 BOREBI;523,27
350750 BOTUCATU;1051,31
350760 BRAGANCA PAULISTA;939,3
350770 BRAUNA;722,21
350775 BREJO ALEGRE;628,13
350780 BRODOWSKI;777,29
350790 BROTAS;711,01
350800 BURI;424,66
350810 BURITAMA;753,97
350820 BURITIZAL;815,22
350830 CABRALIA PAULISTA;501,14
350840 CABREUVA;685,66
350850 CACAPAVA;856,31
350860 CACHOEIRA PAULISTA;754,45
350870 CACONDE;624,02
350880 CAFELANDIA;653,4
350890 CAIABU;552,58
350900 CAIEIRAS;787,38
350910 CAIUA;494
350920 CAJAMAR;610,09
350925 CAJATI;468,5
350930 CAJOBI;674,26
350940 CAJURU;593,36
350945 CAMPINA DO MONTE ALEGRE;516,85
350950 CAMPINAS;1320,21
350960 CAMPO LIMPO PAULISTA;757,57
350970 CAMPOS DO JORDAO;859,92
350980 CAMPOS NOVOS PAULISTA;499,45
350990 CANANEIA;531,63
350995 CANAS;434,22
351000 CANDIDO MOTA;618,77
351010 CANDIDO RODRIGUES;831,88
351015 CANITAR;474,95
351020 CAPAO BONITO;531,2
351030 CAPELA DO ALTO;521,29
351040 CAPIVARI;800,99
351050 CARAGUATATUBA;746,56
351060 CARAPICUIBA;654,85
351070 CARDOSO;589,7
351080 CASA BRANCA;700,14
351090 CASSIA DOS COQUEIROS;548,03
351100 CASTILHO;568,34
351110 CATANDUVA;928,94
351120 CATIGUA;768,15
351130 CEDRAL;831,19
351140 CERQUEIRA CESAR;655,56
351150 CERQUILHO;887,21
351160 CESARIO LANGE;680,03
351170 CHARQUEADA;691,05
351190 CLEMENTINA;636,14
351200 COLINA;700,24
351210 COLOMBIA;578,14
351220 CONCHAL;601,14
351230 CONCHAS;712,9
351240 CORDEIROPOLIS;851,13
351250 COROADOS;636,8
351260 CORONEL MACEDO;460,11
351270 CORUMBATAI;730,48
351280 COSMOPOLIS;787,69
351290 COSMORAMA;631,02
351300 COTIA;1030,64
351310 CRAVINHOS;774,71
351320 CRISTAIS PAULISTA;718,26
351330 CRUZALIA;608,5
351340 CRUZEIRO;793,98
351350 CUBATAO;665,75
351360 CUNHA;516,26
351370 DESCALVADO;791,63
351380 DIADEMA;657,57
351385 DIRCE REIS;561,43
351390 DIVINOLANDIA;703,45
351400 DOBRADA;585,98
351410 DOIS CORREGOS;720,28
351420 DOLCINOPOLIS;619,75
351430 DOURADO;693,6
351440 DRACENA;856,31
351450 DUARTINA;683,88
351460 DUMONT;700,33
351470 ECHAPORA;694,37
351480 ELDORADO;404,66
351490 ELIAS FAUSTO;604,27
351492 ELISIARIO;662,37
351495 EMBAUBA;707,38
351500 EMBU DAS ARTES;579,72
351510 EMBU-GUACU;661,04
351512 EMILIANOPOLIS;581,31
351515 ENGENHEIRO COELHO;702,21
351518 ESPIRITO SANTO DO PINHAL;1037,6
351519 ESPIRITO SANTO DO TURVO;526,46
351520 ESTRELA D'OESTE;663,9
351530 ESTRELA DO NORTE;592,17
351535 EUCLIDES DA CUNHA PAULISTA;482,78
351540 FARTURA;615,28
351550 FERNANDOPOLIS;938,63
351560 FERNANDO PRESTES;831,17
351565 FERNAO;507,19
351570 FERRAZ DE VASCONCELOS;553,42
351580 FLORA RICA;496,64
351590 FLOREAL;662,49
351600 FLORIDA PAULISTA;613,9
351610 FLORINIA;523,07
351620 FRANCA;836,61
351630 FRANCISCO MORATO;453,17
351640 FRANCO DA ROCHA;605,4
351650 GABRIEL MONTEIRO;710,33
351660 GALIA;561,58
351670 GARCA;767,16
351680 GASTAO VIDIGAL;718,4
351685 GAVIAO PEIXOTO;562,15
351690 GENERAL SALGADO;767,23
351700 GETULINA;587,28
351710 GLICERIO;777,25
351720 GUAICARA;607,39
351730 GUAIMBE;528,52
351740 GUAIRA;850,71
351750 GUAPIACU;733,93
351760 GUAPIARA;403,19
351770 GUARA;639,94
351780 GUARACAI;608,4
351790 GUARACI;611,53
351800 GUARANI D'OESTE;552,64
351810 GUARANTA;608,89
351820 GUARARAPES;732,4
351830 GUARAREMA;707,21
351840 GUARATINGUETA;915,87
351850 GUAREI;587,82
351860 GUARIBA;663,95
351870 GUARUJA;719,02
351880 GUARULHOS;790,79
351885 GUATAPARA;670,13
351890 GUZOLANDIA;532,68
351900 HERCULANDIA;538,22
351905 HOLAMBRA;1258,84
351907 HORTOLANDIA;659,28
351910 IACANGA;710,36
351920 IACRI;626,58
351925 IARAS;488,22
351930 IBATE;517,37
