Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
110001 ALTA FLORESTA D'OESTE;34;4;108;5;73;27;35;60;7;24;27;404
110002 ARIQUEMES;784;1;20;19;32;31;43;64;14;20;87;1115
110003 CABIXI;3;1;1;-;6;3;1;9;2;1;1;28
110004 CACOAL;1523;9;40;26;71;25;49;98;14;47;296;2198
110005 CEREJEIRAS;8;-;1;1;1;-;1;9;1;3;1;26
110006 COLORADO DO OESTE;2;-;1;-;1;1;-;-;-;-;-;5
110008 COSTA MARQUES;4;1;2;-;9;3;1;8;-;1;4;33
110009 ESPIGAO D'OESTE;284;-;17;10;57;20;7;24;2;14;55;490
110010 GUAJARA-MIRIM;2;-;2;1;7;5;11;27;4;9;7;75
110011 JARU;1031;2;21;13;51;12;29;57;8;9;112;1345
110012 JI-PARANA;585;1;8;3;15;8;21;35;7;5;49;737
110013 MACHADINHO D'OESTE;19;2;14;31;50;15;51;31;4;10;26;253
110014 NOVA BRASILANDIA D'OESTE;63;9;57;24;49;61;52;237;21;42;69;684
110015 OURO PRETO DO OESTE;15;-;4;1;4;3;1;7;1;3;2;41
110018 PIMENTA BUENO;162;2;13;8;28;7;21;36;4;25;15;321
110020 PORTO VELHO;919;6;53;31;108;41;135;310;56;190;169;2018
110025 PRESIDENTE MEDICI;208;-;4;-;-;1;1;2;-;-;9;225
110026 RIO CRESPO;11;-;1;-;1;-;2;5;-;2;1;23
110028 ROLIM DE MOURA;212;1;2;2;3;-;2;6;1;6;24;259
110029 SANTA LUZIA D'OESTE;36;-;9;2;9;4;5;13;2;2;12;94
110030 VILHENA;1084;-;8;2;10;4;7;16;2;7;224;1364
110032 SAO MIGUEL DO GUAPORE;33;-;-;2;2;6;13;7;1;1;11;76
110033 NOVA MAMORE;65;-;7;-;7;4;6;8;2;4;3;106
110034 ALVORADA D'OESTE;142;1;2;1;3;5;1;6;-;1;13;175
110037 ALTO ALEGRE DOS PARECIS;5;-;2;-;2;-;-;-;-;-;2;11
110040 ALTO PARAISO;79;-;-;-;2;-;-;3;-;2;8;94
110045 BURITIS;37;2;18;24;29;20;64;117;-;3;51;365
110060 CACAULANDIA;12;1;1;2;6;3;2;18;1;7;3;56
110070 CAMPO NOVO DE RONDONIA;3;1;6;-;13;1;4;10;3;4;1;46
110080 CANDEIAS DO JAMARI;61;-;-;-;-;-;-;-;-;-;6;67
110090 CASTANHEIRAS;5;-;8;2;4;2;2;11;-;2;4;40
110092 CHUPINGUAIA;43;1;3;1;1;-;3;5;-;1;13;71
110094 CUJUBIM;11;1;1;3;6;6;9;25;-;1;7;70
110100 GOVERNADOR JORGE TEIXEIRA;50;2;10;8;17;8;11;14;3;9;11;143
110120 MINISTRO ANDREAZZA;24;-;4;2;6;2;2;7;2;4;3;56
110130 MIRANTE DA SERRA;68;1;6;1;6;7;8;6;-;2;18;123
110140 MONTE NEGRO;40;-;-;2;2;-;-;-;-;1;4;49
110143 NOVA UNIAO;15;1;2;1;-;-;-;-;-;1;-;20
110145 PARECIS;2;-;-;-;1;-;-;1;-;-;-;4
110147 PRIMAVERA DE RONDONIA;8;-;-;1;1;-;-;-;-;1;-;11
110148 SAO FELIPE D'OESTE;30;1;3;5;5;5;9;35;1;7;5;106
110149 SAO FRANCISCO DO GUAPORE;5;6;23;9;56;18;26;87;7;12;20;269
110150 SERINGUEIRAS;296;-;3;5;4;3;2;10;1;1;21;346
110155 TEIXEIROPOLIS;13;1;8;3;7;2;4;12;4;-;3;57
110160 THEOBROMA;1;-;3;3;-;-;3;2;1;4;2;19
110170 URUPA;18;-;5;1;1;3;2;6;-;3;2;41
110175 VALE DO ANARI;11;-;4;1;1;-;3;2;-;1;9;32
110180 VALE DO PARAISO;58;-;2;2;-;2;1;5;-;3;-;73
120001 ACRELANDIA;2;-;1;-;-;-;-;2;1;-;-;6
120005 ASSIS BRASIL;184;-;1;-;-;-;1;1;-;-;8;195
120010 BRASILEIA;23;-;11;10;34;5;5;23;1;2;23;137
120013 BUJARI;1;-;-;-;-;-;-;-;-;1;-;2
120017 CAPIXABA;2;-;-;-;-;-;3;-;-;-;-;5
120020 CRUZEIRO DO SUL;1325;2;4;1;13;39;42;46;5;13;97;1587
120025 EPITACIOLANDIA;-;-;1;-;-;-;-;1;-;-;1;3
120030 FEIJO;277;-;-;-;-;-;-;-;-;-;17;294
120033 MANCIO LIMA;100;-;-;-;-;-;-;-;-;-;10;110
120034 MANOEL URBANO;4;2;2;4;-;2;2;4;2;2;1;25
120035 MARECHAL THAUMATURGO;-;3;37;11;14;3;11;32;4;10;23;148
120038 PLACIDO DE CASTRO;1;-;-;-;-;-;-;-;-;-;-;1
120039 PORTO WALTER;13;2;15;6;28;12;6;48;2;11;6;149
120040 RIO BRANCO;88;7;21;7;21;7;22;46;10;17;15;261
120042 RODRIGUES ALVES;96;-;-;-;1;6;24;97;2;17;15;258
120045 SENADOR GUIOMARD;10;-;-;-;-;-;-;-;-;-;-;10
120050 SENA MADUREIRA;197;-;2;-;8;3;2;13;-;5;10;240
120060 TARAUACA;105;1;-;1;3;1;3;2;1;-;2;119
120070 XAPURI;9;-;3;3;12;2;1;7;1;1;3;42
120080 PORTO ACRE;-;-;-;-;2;-;-;-;-;-;-;2
130002 ALVARAES;9;-;9;13;21;30;41;67;1;12;11;214
130020 ATALAIA DO NORTE;117;2;6;5;4;3;8;9;3;10;3;170
130040 BARCELOS;-;-;-;-;-;-;-;1;-;-;1;2
130060 BENJAMIN CONSTANT;187;64;106;69;172;101;190;470;70;132;91;1652
130063 BERURI;-;-;1;-;-;-;1;-;-;-;-;2
130080 BORBA;-;-;1;-;-;-;-;-;-;-;-;1
130100 CARAUARI;2;-;-;1;-;-;-;3;-;-;-;6
130120 COARI;2;2;7;2;26;8;12;23;2;6;3;93
130130 CODAJAS;-;-;-;1;-;1;-;-;-;-;1;3
130150 ENVIRA;3;8;20;8;12;5;7;47;-;8;5;123
130160 FONTE BOA;-;-;-;1;-;-;-;-;-;-;-;1
130165 GUAJARA;75;-;2;-;1;1;2;8;-;2;13;104
130170 HUMAITA;102;1;1;33;12;4;22;101;3;2;15;296
130180 IPIXUNA;284;2;10;7;9;9;16;26;5;12;23;403
130185 IRANDUBA;6;-;3;3;7;8;2;10;1;2;3;45
130190 ITACOATIARA;2;-;1;-;-;-;-;2;2;2;4;13
130210 JAPURA;117;2;11;4;4;-;-;14;1;2;23;178
130230 JUTAI;-;-;1;-;2;-;1;3;-;-;-;7
130240 LABREA;38;1;-;2;7;1;4;6;-;2;18;79
130250 MANACAPURU;-;-;-;-;-;-;-;3;-;-;4;7
130260 MANAUS;399;1;41;24;90;41;86;224;17;32;242;1197
130270 MANICORE;153;-;-;-;1;-;5;22;1;-;7;189
130290 MAUES;-;-;-;-;-;-;-;-;-;1;-;1
130320 NOVO AIRAO;-;-;1;1;1;2;1;1;-;-;1;8
130330 NOVO ARIPUANA;-;-;-;-;-;-;-;-;-;-;1;1
130340 PARINTINS;7;-;-;-;-;-;-;4;-;2;1;14
130353 PRESIDENTE FIGUEIREDO;-;-;-;1;1;1;4;3;-;2;-;12
130356 RIO PRETO DA EVA;6;2;2;-;5;2;6;9;-;2;3;37
130360 SANTA ISABEL DO RIO NEGRO;-;-;-;-;-;-;1;2;-;1;-;4
130370 SANTO ANTONIO DO ICA;-;3;18;4;12;4;14;22;-;8;8;93
130380 SAO GABRIEL DA CACHOEIRA;3;-;-;-;-;-;-;-;-;-;-;3
130390 SAO PAULO DE OLIVENCA;40;1;-;-;-;-;2;9;-;-;1;53
130406 TABATINGA;47;3;3;4;5;-;3;8;-;1;4;78
130410 TAPAUA;91;-;-;-;-;-;2;-;-;2;14;109
130420 TEFE;23;-;3;-;3;1;2;8;1;-;4;45
130423 TONANTINS;-;-;3;-;6;9;3;33;-;-;4;58
140002 AMAJARI;-;-;1;-;-;-;-;-;-;-;-;1
140005 ALTO ALEGRE;5;-;-;-;-;-;-;-;-;-;-;5
140010 BOA VISTA;15;1;1;-;-;2;1;9;-;2;13;44
140015 BONFIM;1;-;-;-;-;-;-;-;-;-;-;1
140017 CANTA;-;-;-;-;1;-;-;-;-;-;-;1
140020 CARACARAI;-;-;-;-;-;-;1;-;-;-;-;1
140023 CAROEBE;-;-;-;-;-;-;-;1;-;-;-;1
140030 MUCAJAI;-;1;-;-;3;-;-;-;-;-;2;6
140047 RORAINOPOLIS;-;-;-;-;-;1;-;-;-;2;-;3
