Município;Internações
350010 ADAMANTINA;399
350030 AGUAI;39
350050 AGUAS DE LINDOIA;102
350070 AGUDOS;89
350100 ALTINOPOLIS;108
350130 ALVARES MACHADO;55
350160 AMERICANA;726
350170 AMERICO BRASILIENSE;555
350190 AMPARO;452
350210 ANDRADINA;269
350220 ANGATUBA;149
350250 APARECIDA;393
350260 APARECIDA D'OESTE;4
350270 APIAI;238
350280 ARACATUBA;1107
350320 ARARAQUARA;1256
350330 ARARAS;452
350390 ARUJA;134
350400 ASSIS;768
350410 ATIBAIA;437
350420 AURIFLAMA;118
350450 AVARE;566
350530 BARRA BONITA;142
350550 BARRETOS;2553
350570 BARUERI;2979
350580 BASTOS;100
350590 BATATAIS;329
350600 BAURU;3460
350610 BEBEDOURO;497
350630 BERNARDINO DE CAMPOS;41
350635 BERTIOGA;291
350650 BIRIGUI;378
350670 BOA ESPERANCA DO SUL;7
350680 BOCAINA;15
350700 BOITUVA;275
350740 BORBOREMA;55
350750 BOTUCATU;2349
350760 BRAGANCA PAULISTA;1499
350790 BROTAS;59
350810 BURITAMA;54
350840 CABREUVA;36
350850 CACAPAVA;545
350860 CACHOEIRA PAULISTA;34
350870 CACONDE;106
350880 CAFELANDIA;91
350900 CAIEIRAS;201
350920 CAJAMAR;207
350940 CAJURU;217
350950 CAMPINAS;7775
350960 CAMPO LIMPO PAULISTA;342
350970 CAMPOS DO JORDAO;315
351000 CANDIDO MOTA;170
351020 CAPAO BONITO;258
351040 CAPIVARI;157
351050 CARAGUATATUBA;1404
351060 CARAPICUIBA;1581
351070 CARDOSO;35
351080 CASA BRANCA;162
351100 CASTILHO;41
351110 CATANDUVA;1405
351140 CERQUEIRA CESAR;69
351150 CERQUILHO;74
351160 CESARIO LANGE;50
351170 CHARQUEADA;30
351190 CLEMENTINA;18
351200 COLINA;99
351210 COLOMBIA;1
351220 CONCHAL;135
351280 COSMOPOLIS;125
351300 COTIA;1144
351340 CRUZEIRO;469
351350 CUBATAO;454
351360 CUNHA;109
351370 DESCALVADO;78
351380 DIADEMA;1888
351390 DIVINOLANDIA;306
351410 DOIS CORREGOS;88
351440 DRACENA;236
351450 DUARTINA;100
351500 EMBU DAS ARTES;301
351510 EMBU-GUACU;139
351518 ESPIRITO SANTO DO PINHAL;323
351520 ESTRELA D'OESTE;48
351540 FARTURA;84
351550 FERNANDOPOLIS;434
351570 FERRAZ DE VASCONCELOS;227
351600 FLORIDA PAULISTA;71
351620 FRANCA;1849
351630 FRANCISCO MORATO;934
351640 FRANCO DA ROCHA;835
351660 GALIA;8
351670 GARCA;272
351690 GENERAL SALGADO;30
351700 GETULINA;33
351740 GUAIRA;229
351820 GUARARAPES;107
351830 GUARAREMA;84
351840 GUARATINGUETA;547
351860 GUARIBA;137
351870 GUARUJA;965
351880 GUARULHOS;4363
351900 HERCULANDIA;66
351907 HORTOLANDIA;420
351910 IACANGA;29
351930 IBATE;67
351960 IBITINGA;320
352010 IGARAPAVA;96
352044 ILHA SOLTEIRA;188
352050 INDAIATUBA;1256
352070 INDIAPORA;38
352090 IPAUSSU;44
352170 ITABERA;110
352190 ITAJOBI;46
352210 ITANHAEM;908
352220 ITAPECERICA DA SERRA;1334
352240 ITAPEVA;678
352250 ITAPEVI;1403
352260 ITAPIRA;550
352270 ITAPOLIS;282
352280 ITAPORANGA;107
352310 ITAQUAQUECETUBA;1335
352340 ITATIBA;473
352350 ITATINGA;32
352360 ITIRAPINA;13
352390 ITU;725
352400 ITUPEVA;145
352410 ITUVERAVA;326
352420 JABORANDI;4
352430 JABOTICABAL;231
352440 JACAREI;1117
352450 JACI;49
352470 JAGUARIUNA;256
352480 JALES;675
352520 JARINU;52
352530 JAU;2321
352550 JOANOPOLIS;19
352570 JOSE BONIFACIO;115
352590 JUNDIAI;3631
352600 JUNQUEIROPOLIS;105
352640 LARANJAL PAULISTA;121
352670 LEME;468
352680 LENCOIS PAULISTA;223
352690 LIMEIRA;1336
352710 LINS;549
352720 LORENA;463
352730 LOUVEIRA;218
352740 LUCELIA;41
352800 MACATUBA;81
352810 MACAUBAL;3
352850 MAIRIPORA;242
352880 MARACAI;43
352900 MARILIA;2293
352930 MATAO;462
352940 MAUA;1271
352970 MIGUELOPOLIS;82
353010 MIRANDOPOLIS;264
353030 MIRASSOL;157
353050 MOCOCA;316
353060 MOGI DAS CRUZES;2634
353070 MOGI GUACU;816
353080 MOGI MIRIM;386
353110 MONGAGUA;77
353130 MONTE ALTO;204
353140 MONTE APRAZIVEL;168
353150 MONTE AZUL PAULISTA;103
353180 MONTE MOR;103
353190 MORRO AGUDO;159
353200 MORUNGABA;8
353250 NEVES PAULISTA;6
353260 NHANDEARA;132
353300 NOVA GRANADA;163
353340 NOVA ODESSA;132
353350 NOVO HORIZONTE;204
353390 OLIMPIA;370
353430 ORLANDIA;248
353440 OSASCO;2264
353460 OSVALDO CRUZ;187
353470 OURINHOS;806
353520 PALMEIRA D'OESTE;45
353530 PALMITAL;123
353550 PARAGUACU PAULISTA;237
353580 PARANAPANEMA;52
353620 PARIQUERA-ACU;738
353630 PATROCINIO PAULISTA;97
353670 PEDERNEIRAS;163
353700 PEDREGULHO;88
353710 PEDREIRA;122
353730 PENAPOLIS;463
353740 PEREIRA BARRETO;93
353760 PERUIBE;68
353790 PILAR DO SUL;82
353800 PINDAMONHANGABA;550
353860 PIRACAIA;50
353870 PIRACICABA;2948
353880 PIRAJU;157
353890 PIRAJUI;148
353930 PIRASSUNUNGA;227
353950 PITANGUEIRAS;119
354000 POMPEIA;32
354020 PONTAL;115
354060 PORTO FELIZ;291
354070 PORTO FERREIRA;168
354080 POTIRENDABA;55
354130 PRESIDENTE EPITACIO;230
354140 PRESIDENTE PRUDENTE;3356
354150 PRESIDENTE VENCESLAU;225
354160 PROMISSAO;310
354220 RANCHARIA;275
354260 REGISTRO;883
354330 RIBEIRAO PIRES;186
354340 RIBEIRAO PRETO;6258
354390 RIO CLARO;848
354400 RIO DAS PEDRAS;82
354420 RIOLANDIA;10
354425 ROSANA;282
354500 SALESOPOLIS;56
354520 SALTO;475
354530 SALTO DE PIRAPORA;219
354540 SALTO GRANDE;41
354580 SANTA BARBARA D'OESTE;735
354630 SANTA CRUZ DAS PALMEIRAS;104
354640 SANTA CRUZ DO RIO PARDO;353
354660 SANTA FE DO SUL;226
354680 SANTA ISABEL;181
354730 SANTANA DE PARNAIBA;316
354750 SANTA RITA DO PASSA QUATRO;128
354760 SANTA ROSA DE VITERBO;74
354770 SANTO ANASTACIO;171
354780 SANTO ANDRE;4662
354790 SANTO ANTONIO DA ALEGRIA;6
354850 SANTOS;2830
354860 SAO BENTO DO SAPUCAI;26
354870 SAO BERNARDO DO CAMPO;3306
354880 SAO CAETANO DO SUL;917
354890 SAO CARLOS;1488
354910 SAO JOAO DA BOA VISTA;548
354940 SAO JOAQUIM DA BARRA;323
354970 SAO JOSE DO RIO PARDO;372
354980 SAO JOSE DO RIO PRETO;6159
354990 SAO JOSE DOS CAMPOS;4618
355000 SAO LUIS DO PARAITINGA;14
355010 SAO MANUEL;90
355020 SAO MIGUEL ARCANJO;152
355030 SAO PAULO;57000
355040 SAO PEDRO;216
355060 SAO ROQUE;498
355070 SAO SEBASTIAO;423
355080 SAO SEBASTIAO DA GRAMA;39
355090 SAO SIMAO;29
355100 SAO VICENTE;875
355150 SERRANA;386
355160 SERRA NEGRA;113
355200 SILVEIRAS;6
355210 SOCORRO;248
355220 SOROCABA;4703
355230 SUD MENNUCCI;32
355240 SUMARE;1053
355250 SUZANO;403
355260 TABAPUA;65
355270 TABATINGA;65
355280 TABOAO DA SERRA;1552
355300 TAGUAI;70
355340 TANABI;95
355360 TAPIRATIBA;24
355370 TAQUARITINGA;426
355400 TATUI;387
355410 TAUBATE;1336
355430 TEODORO SAMPAIO;99
355440 TERRA ROXA;14
355450 TIETE;187
