Município;Internações
350010 ADAMANTINA;231
350020 ADOLFO;38
350030 AGUAI;242
350040 AGUAS DA PRATA;44
350050 AGUAS DE LINDOIA;153
350055 AGUAS DE SANTA BARBARA;31
350060 AGUAS DE SAO PEDRO;21
350070 AGUDOS;221
350075 ALAMBARI;7
350080 ALFREDO MARCONDES;45
350090 ALTAIR;29
350100 ALTINOPOLIS;193
350110 ALTO ALEGRE;25
350115 ALUMINIO;53
350120 ALVARES FLORENCE;28
350130 ALVARES MACHADO;203
350140 ALVARO DE CARVALHO;17
350150 ALVINLANDIA;15
350160 AMERICANA;891
350170 AMERICO BRASILIENSE;199
350180 AMERICO DE CAMPOS;36
350190 AMPARO;386
350200 ANALANDIA;15
350210 ANDRADINA;294
350220 ANGATUBA;163
350230 ANHEMBI;36
350240 ANHUMAS;27
350250 APARECIDA;225
350260 APARECIDA D'OESTE;43
350270 APIAI;162
350275 ARACARIGUAMA;88
350280 ARACATUBA;677
350290 ARACOIABA DA SERRA;118
350300 ARAMINA;38
350310 ARANDU;35
350315 ARAPEI;19
350320 ARARAQUARA;1115
350330 ARARAS;506
350335 ARCO-IRIS;17
350340 AREALVA;37
350350 AREIAS;23
350360 AREIOPOLIS;55
350370 ARIRANHA;41
350380 ARTUR NOGUEIRA;114
350390 ARUJA;382
350395 ASPASIA;21
350400 ASSIS;599
350410 ATIBAIA;741
350420 AURIFLAMA;106
350430 AVAI;33
350440 AVANHANDAVA;70
350450 AVARE;461
350460 BADY BASSITT;188
350470 BALBINOS;12
350480 BALSAMO;65
350490 BANANAL;38
350500 BARAO DE ANTONINA;27
350510 BARBOSA;38
350520 BARIRI;92
350530 BARRA BONITA;173
350535 BARRA DO CHAPEU;32
350540 BARRA DO TURVO;44
350550 BARRETOS;832
350560 BARRINHA;124
350570 BARUERI;2620
350580 BASTOS;195
350590 BATATAIS;482
350600 BAURU;1938
350610 BEBEDOURO;412
350620 BENTO DE ABREU;16
350630 BERNARDINO DE CAMPOS;80
350635 BERTIOGA;366
350640 BILAC;17
350650 BIRIGUI;468
350660 BIRITIBA-MIRIM;166
350670 BOA ESPERANCA DO SUL;80
350680 BOCAINA;74
350690 BOFETE;79
350700 BOITUVA;366
350710 BOM JESUS DOS PERDOES;101
350715 BOM SUCESSO DE ITARARE;21
350720 BORA;6
350730 BORACEIA;38
350740 BORBOREMA;109
350745 BOREBI;21
350750 BOTUCATU;935
350760 BRAGANCA PAULISTA;1011
350770 BRAUNA;35
350775 BREJO ALEGRE;11
350780 BRODOWSKI;142
350790 BROTAS;152
350800 BURI;89
350810 BURITAMA;80
350820 BURITIZAL;35
350830 CABRALIA PAULISTA;58
350840 CABREUVA;190
350850 CACAPAVA;773
350860 CACHOEIRA PAULISTA;163
350870 CACONDE;142
350880 CAFELANDIA;146
350890 CAIABU;28
350900 CAIEIRAS;402
350910 CAIUA;29
350920 CAJAMAR;409
350925 CAJATI;157
350930 CAJOBI;52
350940 CAJURU;261
350945 CAMPINA DO MONTE ALEGRE;26
350950 CAMPINAS;5072
350960 CAMPO LIMPO PAULISTA;405
350970 CAMPOS DO JORDAO;402
350980 CAMPOS NOVOS PAULISTA;15
350990 CANANEIA;86
350995 CANAS;39
351000 CANDIDO MOTA;234
351010 CANDIDO RODRIGUES;23
351015 CANITAR;42
351020 CAPAO BONITO;302
351030 CAPELA DO ALTO;78
351040 CAPIVARI;201
351050 CARAGUATATUBA;942
351060 CARAPICUIBA;2094
351070 CARDOSO;108
351080 CASA BRANCA;232
351090 CASSIA DOS COQUEIROS;36
351100 CASTILHO;111
351110 CATANDUVA;595
351120 CATIGUA;30
351130 CEDRAL;79
351140 CERQUEIRA CESAR;165
351150 CERQUILHO;182
351160 CESARIO LANGE;97
351170 CHARQUEADA;94
351190 CLEMENTINA;61
351200 COLINA;129
351210 COLOMBIA;41
351220 CONCHAL;194
351230 CONCHAS;108
351240 CORDEIROPOLIS;83
351250 COROADOS;24
351260 CORONEL MACEDO;12
351270 CORUMBATAI;21
351280 COSMOPOLIS;321
351290 COSMORAMA;50
351300 COTIA;1128
351310 CRAVINHOS;130
351320 CRISTAIS PAULISTA;49
351330 CRUZALIA;16
351340 CRUZEIRO;452
351350 CUBATAO;556
351360 CUNHA;183
351370 DESCALVADO;163
351380 DIADEMA;2041
351385 DIRCE REIS;18
351390 DIVINOLANDIA;89
351400 DOBRADA;45
351410 DOIS CORREGOS;143
351420 DOLCINOPOLIS;18
351430 DOURADO;34
351440 DRACENA;265
351450 DUARTINA;141
351460 DUMONT;49
351470 ECHAPORA;36
351480 ELDORADO;54
