Município;Internações
350010 ADAMANTINA;36
350030 AGUAI;8
350050 AGUAS DE LINDOIA;20
350070 AGUDOS;3
350100 ALTINOPOLIS;16
350130 ALVARES MACHADO;16
350160 AMERICANA;88
350170 AMERICO BRASILIENSE;49
350190 AMPARO;25
350210 ANDRADINA;41
350220 ANGATUBA;1
350250 APARECIDA;36
350270 APIAI;15
350280 ARACATUBA;155
350320 ARARAQUARA;228
350330 ARARAS;54
350390 ARUJA;17
350400 ASSIS;103
350410 ATIBAIA;34
350420 AURIFLAMA;2
350450 AVARE;54
350530 BARRA BONITA;13
350550 BARRETOS;226
350570 BARUERI;299
350580 BASTOS;2
350590 BATATAIS;30
350600 BAURU;368
350610 BEBEDOURO;22
350630 BERNARDINO DE CAMPOS;5
350635 BERTIOGA;28
350650 BIRIGUI;27
350670 BOA ESPERANCA DO SUL;2
350700 BOITUVA;33
350740 BORBOREMA;10
350750 BOTUCATU;331
350760 BRAGANCA PAULISTA;170
350790 BROTAS;4
350810 BURITAMA;4
350840 CABREUVA;1
350850 CACAPAVA;62
350860 CACHOEIRA PAULISTA;7
350870 CACONDE;24
350880 CAFELANDIA;13
350920 CAJAMAR;10
350940 CAJURU;24
350950 CAMPINAS;833
350960 CAMPO LIMPO PAULISTA;38
350970 CAMPOS DO JORDAO;29
351000 CANDIDO MOTA;29
351020 CAPAO BONITO;22
351040 CAPIVARI;6
351050 CARAGUATATUBA;156
351060 CARAPICUIBA;184
351080 CASA BRANCA;20
351100 CASTILHO;4
351110 CATANDUVA;200
351140 CERQUEIRA CESAR;4
351150 CERQUILHO;9
351160 CESARIO LANGE;7
351190 CLEMENTINA;2
351200 COLINA;9
351220 CONCHAL;10
351280 COSMOPOLIS;14
351300 COTIA;129
351340 CRUZEIRO;56
351350 CUBATAO;37
351360 CUNHA;11
351370 DESCALVADO;9
351380 DIADEMA;198
351390 DIVINOLANDIA;19
351410 DOIS CORREGOS;8
351440 DRACENA;41
351450 DUARTINA;6
351500 EMBU DAS ARTES;35
351510 EMBU-GUACU;31
351518 ESPIRITO SANTO DO PINHAL;22
351520 ESTRELA D'OESTE;1
351540 FARTURA;4
351550 FERNANDOPOLIS;58
351570 FERRAZ DE VASCONCELOS;7
351600 FLORIDA PAULISTA;9
351620 FRANCA;258
351630 FRANCISCO MORATO;68
351640 FRANCO DA ROCHA;104
351670 GARCA;30
351690 GENERAL SALGADO;10
351740 GUAIRA;17
351820 GUARARAPES;3
351830 GUARAREMA;9
351840 GUARATINGUETA;58
351860 GUARIBA;11
351870 GUARUJA;92
351880 GUARULHOS;469
351900 HERCULANDIA;9
351907 HORTOLANDIA;23
351910 IACANGA;6
351930 IBATE;10
351960 IBITINGA;45
352010 IGARAPAVA;9
352044 ILHA SOLTEIRA;20
352050 INDAIATUBA;148
352070 INDIAPORA;3
352090 IPAUSSU;8
352170 ITABERA;29
352190 ITAJOBI;9
352210 ITANHAEM;51
352220 ITAPECERICA DA SERRA;146
352240 ITAPEVA;89
352250 ITAPEVI;59
352260 ITAPIRA;33
352270 ITAPOLIS;38
