Município;Internações
350010 ADAMANTINA;29
350020 ADOLFO;6
350030 AGUAI;26
350040 AGUAS DA PRATA;10
350050 AGUAS DE LINDOIA;20
350055 AGUAS DE SANTA BARBARA;5
350060 AGUAS DE SAO PEDRO;2
350070 AGUDOS;24
350075 ALAMBARI;2
350080 ALFREDO MARCONDES;3
350090 ALTAIR;5
350100 ALTINOPOLIS;23
350110 ALTO ALEGRE;1
350115 ALUMINIO;4
350120 ALVARES FLORENCE;2
350130 ALVARES MACHADO;27
350140 ALVARO DE CARVALHO;2
350150 ALVINLANDIA;2
350160 AMERICANA;121
350170 AMERICO BRASILIENSE;37
350180 AMERICO DE CAMPOS;3
350190 AMPARO;42
350200 ANALANDIA;1
350210 ANDRADINA;46
350220 ANGATUBA;7
350230 ANHEMBI;5
350240 ANHUMAS;2
350250 APARECIDA;25
350260 APARECIDA D'OESTE;4
350270 APIAI;19
350275 ARACARIGUAMA;4
350280 ARACATUBA;76
350290 ARACOIABA DA SERRA;9
350300 ARAMINA;5
350310 ARANDU;1
350315 ARAPEI;2
350320 ARARAQUARA;174
350330 ARARAS;47
350335 ARCO-IRIS;2
350340 AREALVA;6
350350 AREIAS;5
350360 AREIOPOLIS;7
350370 ARIRANHA;5
350380 ARTUR NOGUEIRA;16
350390 ARUJA;53
350395 ASPASIA;2
350400 ASSIS;87
350410 ATIBAIA;70
350420 AURIFLAMA;4
350430 AVAI;3
350440 AVANHANDAVA;13
350450 AVARE;62
350460 BADY BASSITT;27
350470 BALBINOS;3
350480 BALSAMO;9
350490 BANANAL;6
350500 BARAO DE ANTONINA;4
350510 BARBOSA;4
350520 BARIRI;11
350530 BARRA BONITA;21
350535 BARRA DO CHAPEU;3
350540 BARRA DO TURVO;5
350550 BARRETOS;117
350560 BARRINHA;13
350570 BARUERI;229
350580 BASTOS;23
350590 BATATAIS;52
350600 BAURU;201
350610 BEBEDOURO;47
350620 BENTO DE ABREU;1
350630 BERNARDINO DE CAMPOS;10
350635 BERTIOGA;27
350640 BILAC;5
350650 BIRIGUI;47
350660 BIRITIBA-MIRIM;20
350670 BOA ESPERANCA DO SUL;16
350680 BOCAINA;9
350690 BOFETE;6
350700 BOITUVA;45
350710 BOM JESUS DOS PERDOES;9
350715 BOM SUCESSO DE ITARARE;3
350730 BORACEIA;1
350740 BORBOREMA;20
350745 BOREBI;5
350750 BOTUCATU;110
350760 BRAGANCA PAULISTA;99
350770 BRAUNA;4
350775 BREJO ALEGRE;1
350780 BRODOWSKI;16
350790 BROTAS;12
350800 BURI;5
350810 BURITAMA;5
350820 BURITIZAL;5
350830 CABRALIA PAULISTA;3
350840 CABREUVA;20
350850 CACAPAVA;82
350860 CACHOEIRA PAULISTA;23
350870 CACONDE;18
350880 CAFELANDIA;20
350890 CAIABU;4
350900 CAIEIRAS;31
350910 CAIUA;5
350920 CAJAMAR;28
350925 CAJATI;20
350930 CAJOBI;11
350940 CAJURU;25
350950 CAMPINAS;567
350960 CAMPO LIMPO PAULISTA;45
350970 CAMPOS DO JORDAO;48
350980 CAMPOS NOVOS PAULISTA;1
350990 CANANEIA;11
350995 CANAS;5
351000 CANDIDO MOTA;36
351010 CANDIDO RODRIGUES;5
351015 CANITAR;3
351020 CAPAO BONITO;39
351030 CAPELA DO ALTO;6
351040 CAPIVARI;19
351050 CARAGUATATUBA;94
351060 CARAPICUIBA;227
351070 CARDOSO;11
351080 CASA BRANCA;22
351090 CASSIA DOS COQUEIROS;2
351100 CASTILHO;17
351110 CATANDUVA;76
351120 CATIGUA;5
351130 CEDRAL;15
351140 CERQUEIRA CESAR;19
351150 CERQUILHO;16
351160 CESARIO LANGE;9
351170 CHARQUEADA;12
351190 CLEMENTINA;6
351200 COLINA;9
351210 COLOMBIA;6
351220 CONCHAL;12
351230 CONCHAS;23
351240 CORDEIROPOLIS;10
351250 COROADOS;4
351270 CORUMBATAI;3
351280 COSMOPOLIS;25
351290 COSMORAMA;4
351300 COTIA;120
351310 CRAVINHOS;13
351320 CRISTAIS PAULISTA;7
351330 CRUZALIA;6
351340 CRUZEIRO;59
351350 CUBATAO;46
351360 CUNHA;19
351370 DESCALVADO;24
351380 DIADEMA;253
351385 DIRCE REIS;1
351390 DIVINOLANDIA;5
351400 DOBRADA;5
351410 DOIS CORREGOS;11
351420 DOLCINOPOLIS;3
351430 DOURADO;6
351440 DRACENA;40
351450 DUARTINA;9
351460 DUMONT;5
351470 ECHAPORA;7
351480 ELDORADO;4
351490 ELIAS FAUSTO;15
351492 ELISIARIO;2
351495 EMBAUBA;3
351500 EMBU DAS ARTES;175
351510 EMBU-GUACU;65
351512 EMILIANOPOLIS;2
351515 ENGENHEIRO COELHO;16
351518 ESPIRITO SANTO DO PINHAL;25
351519 ESPIRITO SANTO DO TURVO;5
351520 ESTRELA D'OESTE;2
351535 EUCLIDES DA CUNHA PAULISTA;14
351540 FARTURA;11
351550 FERNANDOPOLIS;49
351560 FERNANDO PRESTES;3
351565 FERNAO;3
351570 FERRAZ DE VASCONCELOS;59
351580 FLORA RICA;1
351590 FLOREAL;2
351600 FLORIDA PAULISTA;15
351610 FLORINIA;4
351620 FRANCA;202
351630 FRANCISCO MORATO;93
351640 FRANCO DA ROCHA;85
351650 GABRIEL MONTEIRO;1
351660 GALIA;2
351670 GARCA;42
351680 GASTAO VIDIGAL;1
351685 GAVIAO PEIXOTO;4
351690 GENERAL SALGADO;12
351700 GETULINA;5
351710 GLICERIO;2
351720 GUAICARA;6
351730 GUAIMBE;5
351740 GUAIRA;31
351750 GUAPIACU;19
351760 GUAPIARA;9
351770 GUARA;17
351780 GUARACAI;4
351790 GUARACI;8
351800 GUARANI D'OESTE;2
351810 GUARANTA;1
