Município;Internações
350010 ADAMANTINA;7
350030 AGUAI;4
350100 ALTINOPOLIS;1
350130 ALVARES MACHADO;8
350160 AMERICANA;9
350170 AMERICO BRASILIENSE;22
350190 AMPARO;3
350210 ANDRADINA;6
350220 ANGATUBA;3
350250 APARECIDA;6
350270 APIAI;4
350280 ARACATUBA;25
350320 ARARAQUARA;18
350330 ARARAS;3
350390 ARUJA;2
350400 ASSIS;7
350410 ATIBAIA;6
350420 AURIFLAMA;11
350450 AVARE;4
350530 BARRA BONITA;3
350550 BARRETOS;104
350570 BARUERI;37
350580 BASTOS;7
350590 BATATAIS;6
350600 BAURU;37
350610 BEBEDOURO;6
350630 BERNARDINO DE CAMPOS;3
350635 BERTIOGA;6
350650 BIRIGUI;3
350700 BOITUVA;7
350750 BOTUCATU;41
350760 BRAGANCA PAULISTA;17
350790 BROTAS;1
350810 BURITAMA;1
350850 CACAPAVA;15
350870 CACONDE;8
350880 CAFELANDIA;3
350920 CAJAMAR;1
350940 CAJURU;7
350950 CAMPINAS;108
350960 CAMPO LIMPO PAULISTA;8
350970 CAMPOS DO JORDAO;13
351000 CANDIDO MOTA;5
351020 CAPAO BONITO;4
351040 CAPIVARI;4
351050 CARAGUATATUBA;12
351060 CARAPICUIBA;14
351080 CASA BRANCA;4
351100 CASTILHO;2
351110 CATANDUVA;26
351140 CERQUEIRA CESAR;4
351170 CHARQUEADA;1
351200 COLINA;2
351220 CONCHAL;3
351280 COSMOPOLIS;6
351300 COTIA;11
351340 CRUZEIRO;9
351350 CUBATAO;9
351360 CUNHA;11
351370 DESCALVADO;1
351380 DIADEMA;39
351390 DIVINOLANDIA;2
351410 DOIS CORREGOS;5
351440 DRACENA;8
351450 DUARTINA;3
351500 EMBU DAS ARTES;7
351510 EMBU-GUACU;3
351518 ESPIRITO SANTO DO PINHAL;4
351520 ESTRELA D'OESTE;8
351540 FARTURA;1
351550 FERNANDOPOLIS;6
351570 FERRAZ DE VASCONCELOS;3
351600 FLORIDA PAULISTA;17
351620 FRANCA;23
351630 FRANCISCO MORATO;16
351640 FRANCO DA ROCHA;20
351670 GARCA;7
351700 GETULINA;5
351820 GUARARAPES;3
351830 GUARAREMA;2
351840 GUARATINGUETA;21
351860 GUARIBA;1
351870 GUARUJA;5
351880 GUARULHOS;49
351900 HERCULANDIA;3
351907 HORTOLANDIA;18
351910 IACANGA;2
351930 IBATE;1
351960 IBITINGA;6
352010 IGARAPAVA;3
352044 ILHA SOLTEIRA;2
352050 INDAIATUBA;10
352070 INDIAPORA;2
352090 IPAUSSU;3
352190 ITAJOBI;2
352210 ITANHAEM;6
352220 ITAPECERICA DA SERRA;20
352240 ITAPEVA;15
352260 ITAPIRA;8
352270 ITAPOLIS;5
352280 ITAPORANGA;1
352310 ITAQUAQUECETUBA;29
352340 ITATIBA;8
352350 ITATINGA;1
352390 ITU;6
352400 ITUPEVA;1
352410 ITUVERAVA;8
352430 JABOTICABAL;1
352440 JACAREI;11
352450 JACI;7
352470 JAGUARIUNA;4
352480 JALES;17
352520 JARINU;2
352530 JAU;21
352550 JOANOPOLIS;3
352570 JOSE BONIFACIO;7
352590 JUNDIAI;30
352600 JUNQUEIROPOLIS;8
352640 LARANJAL PAULISTA;5
352670 LEME;7
352680 LENCOIS PAULISTA;2
352690 LIMEIRA;12
352710 LINS;8
352720 LORENA;9
352730 LOUVEIRA;1
352740 LUCELIA;3
352800 MACATUBA;1
352850 MAIRIPORA;7
352880 MARACAI;3
352900 MARILIA;61
352930 MATAO;10
352940 MAUA;22
353010 MIRANDOPOLIS;3
