cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3500000;Estado de São Paulo;37032403;41262199;44420459;1,09;0,62
3500105;Adamantina;33497;33797;34687;0,09;0,22
3500204;Adolfo;3684;3557;4351;-0,35;1,69
3500303;Aguaí;28195;32148;32072;1,32;-0,02
3500402;Águas da Prata;7131;7584;7369;0,62;-0,24
3500501;Águas de Lindóia;16190;17266;17829;0,65;0,27
3500550;Águas de Santa Bárbara;5224;5601;7177;0,7;2,09
3500600;Águas de São Pedro;1883;2707;2780;3,7;0,22
3500709;Agudos;32484;34524;37680;0,61;0,73
3500758;Alambari;3650;4884;6141;2,96;1,93
3500808;Alfredo Marcondes;3697;3891;4445;0,51;1,12
3500907;Altair;3530;3815;3451;0,78;-0,83
3501004;Altinópolis;15481;15607;16818;0,08;0,62
3501103;Alto Alegre;4261;4102;3841;-0,38;-0,55
3501152;Alumínio;15252;16839;17301;0,99;0,23
3501202;Álvares Florence;4316;3897;3915;-1,02;0,04
3501301;Álvares Machado;22661;23513;27245;0,37;1,24
3501400;Álvaro de Carvalho;4109;4650;4808;1,24;0,28
3501509;Alvinlândia;2837;3000;2885;0,56;-0,33
3501608;Americana;182593;210638;237247;1,44;1
3501707;Américo Brasiliense;28287;34478;33019;2;-0,36
3501806;Américo de Campos;5594;5706;5870;0,2;0,24
3501905;Amparo;60404;65829;68008;0,86;0,27
3502002;Analândia;3582;4293;4589;1,83;0,56
3502101;Andradina;55161;55334;59783;0,03;0,65
3502200;Angatuba;19297;22210;24022;1,42;0,66
3502309;Anhembi;4535;5653;5674;2,23;0,03
3502408;Anhumas;3411;3738;4023;0,92;0,61
3502507;Aparecida;34904;35007;32569;0,03;-0,6
3502606;Aparecida d'Oeste;4935;4450;4086;-1,03;-0,71
3502705;Apiaí;27162;25191;24585;-0,75;-0,2
3502754;Araçariguama;11154;17080;21522;4,35;1,95
3502804;Araçatuba;169254;181579;200124;0,71;0,81
3502903;Araçoiaba da Serra;19816;27299;32443;3,26;1,45
3503000;Aramina;4763;5152;5420;0,79;0,42
3503109;Arandu;6065;6123;6885;0,1;0,98
3503158;Arapeí;2618;2493;2330;-0,49;-0,56
3503208;Araraquara;182471;208662;242228;1,35;1,25
3503307;Araras;104196;118843;130866;1,32;0,81
3503356;Arco-Íris;2163;1925;2044;-1,16;0,5
3503406;Arealva;7244;7841;8130;0,8;0,3
3503505;Areias;3600;3696;3577;0,26;-0,27
3503604;Areiópolis;10296;10579;10130;0,27;-0,36
3503703;Ariranha;7477;8547;7602;1,35;-0,97
3503802;Artur Nogueira;33124;44177;51456;2,92;1,28
3503901;Arujá;59185;74905;86678;2,38;1,22
3503950;Aspásia;1861;1809;1842;-0,28;0,15
3504008;Assis;87251;95144;101409;0,87;0,53
3504107;Atibaia;111300;126603;158640;1,3;1,9
3504206;Auriflama;13513;14202;13692;0,5;-0,3
3504305;Avaí;4596;4959;4483;0,76;-0,84
3504404;Avanhandava;8829;11310;11263;2,51;-0,03
3504503;Avaré;76472;82934;92805;0,81;0,94
3504602;Bady Bassitt;11550;14603;27260;2,37;5,34
3504701;Balbinos;1313;3702;3887;10,92;0,41
3504800;Bálsamo;7340;8160;9596;1,06;1,36
3504909;Bananal;9713;10223;9969;0,51;-0,21
3505005;Barão de Antonina;2794;3116;3531;1,1;1,05
3505104;Barbosa;5837;6593;5640;1,23;-1,29
3505203;Bariri;28224;31593;31595;1,13;0
3505302;Barra Bonita;35487;35246;34346;-0,07;-0,22
3505351;Barra do Chapéu;4846;5244;5162;0,79;-0,13
3505401;Barra do Turvo;8108;7729;6875;-0,48;-0,97
3505500;Barretos;103913;112101;122485;0,76;0,74
3505609;Barrinha;24207;28496;32092;1,64;1
3505708;Barueri;208281;240749;316473;1,46;2,31
3505807;Bastos;20588;20445;21503;-0,07;0,42
3505906;Batatais;51112;56476;58402;1;0,28
3506003;Bauru;316064;343937;379146;0,85;0,82
3506102;Bebedouro;74815;75035;76373;0,03;0,15
3506201;Bento de Abreu;2394;2674;2606;1,11;-0,21
3506300;Bernardino de Campos;10720;10775;11607;0,05;0,62
3506359;Bertioga;30039;47645;64188;4,72;2,51
3506409;Bilac;6088;7048;7319;1,48;0,31
3506508;Birigui;94300;108728;118979;1,43;0,75
3506607;Biritiba Mirim;24653;28575;29676;1,49;0,32
3506706;Boa Esperança do Sul;12573;13645;12978;0,82;-0,42
3506805;Bocaina;9442;10859;11259;1,41;0,3
3506904;Bofete;7356;9618;10460;2,72;0,7
3507001;Boituva;34368;48314;61081;3,46;1,97
3507100;Bom Jesus dos Perdões;13313;19708;21942;4;0,9
3507159;Bom Sucesso de Itararé;3231;3571;3555;1,01;-0,04
3507209;Borá;795;805;907;0,13;1
3507308;Boracéia;3739;4268;4715;1,33;0,83
3507407;Borborema;13193;14529;14226;0,97;-0,18
3507456;Borebi;1933;2293;2713;1,72;1,41
3507506;Botucatu;108306;127328;145155;1,63;1,1
3507605;Bragança Paulista;125031;146744;176811;1,61;1,57
3507704;Braúna;4383;5021;5356;1,37;0,54
3507753;Brejo Alegre;2308;2573;2565;1,09;-0,03
3507803;Brodowski;17139;21107;25201;2,1;1,49
3507902;Brotas;18886;21580;23898;1,34;0,85
3508009;Buri;17629;18563;20250;0,52;0,73
3508108;Buritama;13854;15418;17210;1,08;0,92
3508207;Buritizal;3674;4053;4356;0,99;0,6
3508306;Cabrália Paulista;4656;4365;4299;-0,64;-0,13
3508405;Cabreúva;33100;41604;47011;2,31;1,02
3508504;Caçapava;76130;84752;96202;1,08;1,06
3508603;Cachoeira Paulista;27205;30091;31564;1,01;0,4
3508702;Caconde;18378;18538;17101;0,09;-0,67
3508801;Cafelândia;15793;16607;16654;0,5;0,02
3508900;Caiabu;4077;4072;3712;-0,01;-0,77
3509007;Caieiras;71221;86529;95030;1,97;0,78
3509106;Caiuá;4192;5039;5466;1,86;0,68
3509205;Cajamar;50761;64114;92689;2,36;3,12
3509254;Cajati;29227;28372;28515;-0,3;0,04
3509304;Cajobi;9174;9768;9133;0,63;-0,56
3509403;Cajuru;20777;23371;23830;1,18;0,16
3509452;Campina do Monte Alegre;5209;5567;5954;0,67;0,56
3509502;Campinas;969396;1080113;1138309;1,09;0,44
3509601;Campo Limpo Paulista;63724;74074;77632;1,52;0,39
3509700;Campos do Jordão;44252;47789;46974;0,77;-0,14
3509809;Campos Novos Paulista;4181;4539;4888;0,82;0,62
3509908;Cananéia;12298;12226;12289;-0,06;0,04
3509957;Canas;3614;4385;4931;1,95;0,98
3510005;Cândido Mota;29280;29884;29449;0,2;-0,12
3510104;Cândido Rodrigues;2613;2668;2889;0,21;0,67
3510153;Canitar;3481;4369;6283;2,3;3,07
3510203;Capão Bonito;46732;46178;46337;-0,12;0,03
3510302;Capela do Alto;14247;17532;22866;2,1;2,24
3510401;Capivari;41468;48576;50068;1,59;0,25
3510500;Caraguatatuba;78921;100840;134875;2,48;2,45
